13-05-2023 22:21:49.983 [main] INFO  com.springbank.user.oauth20.OAuth2Application.logStarting - Starting OAuth2Application on ruksads-beast with PID 54473 (/home/ruksad/Documents/projects/DDD-CQRS-EVENT_SOURCING/user.oauth2.0/target/classes started by ruksad in /home/ruksad/Documents/projects/DDD-CQRS-EVENT_SOURCING/user.oauth2.0)
13-05-2023 22:21:49.986 [main] INFO  com.springbank.user.oauth20.OAuth2Application.logStartupProfileInfo - No active profile set, falling back to default profiles: default
13-05-2023 22:21:52.285 [main] INFO  com.springbank.user.oauth20.OAuth2Application.logStarted - Started OAuth2Application in 2.517 seconds (JVM running for 2.678)
14-05-2023 15:32:12.004 [main] INFO  com.springbank.user.oauth20.OAuth2Application.logStarting - Starting OAuth2Application on ruksads-beast with PID 65096 (/home/ruksad/Documents/projects/DDD-CQRS-EVENT_SOURCING/user.oauth2.0/target/classes started by ruksad in /home/ruksad/Documents/projects/DDD-CQRS-EVENT_SOURCING)
14-05-2023 15:32:12.006 [main] INFO  com.springbank.user.oauth20.OAuth2Application.logStartupProfileInfo - No active profile set, falling back to default profiles: default
14-05-2023 15:32:15.676 [main] INFO  com.springbank.user.oauth20.OAuth2Application.logStarted - Started OAuth2Application in 4.112 seconds (JVM running for 4.964)
14-05-2023 16:45:23.613 [main] INFO  com.springbank.user.oauth20.OAuth2ApplicationTests.logStarting - Starting OAuth2ApplicationTests on ruksads-beast with PID 71656 (started by ruksad in /home/ruksad/Documents/projects/DDD-CQRS-EVENT_SOURCING/user.oauth2.0)
14-05-2023 16:45:23.616 [main] INFO  com.springbank.user.oauth20.OAuth2ApplicationTests.logStartupProfileInfo - No active profile set, falling back to default profiles: default
14-05-2023 16:45:27.848 [main] INFO  com.springbank.user.oauth20.OAuth2ApplicationTests.logStarted - Started OAuth2ApplicationTests in 4.548 seconds (JVM running for 5.707)
14-05-2023 16:58:44.760 [main] INFO  com.springbank.user.oauth20.OAuth2ApplicationTests.logStarting - Starting OAuth2ApplicationTests on ruksads-beast with PID 74709 (started by ruksad in /home/ruksad/Documents/projects/DDD-CQRS-EVENT_SOURCING/user.oauth2.0)
14-05-2023 16:58:44.763 [main] INFO  com.springbank.user.oauth20.OAuth2ApplicationTests.logStartupProfileInfo - No active profile set, falling back to default profiles: default
14-05-2023 16:58:48.201 [main] INFO  com.springbank.user.oauth20.OAuth2ApplicationTests.logStarted - Started OAuth2ApplicationTests in 3.766 seconds (JVM running for 4.549)
14-05-2023 17:29:07.474 [main] INFO  com.springbank.user.oauth20.OAuth2ApplicationTests.logStarting - Starting OAuth2ApplicationTests on ruksads-beast with PID 80970 (started by ruksad in /home/ruksad/Documents/projects/DDD-CQRS-EVENT_SOURCING/user.oauth2.0)
14-05-2023 17:29:07.478 [main] INFO  com.springbank.user.oauth20.OAuth2ApplicationTests.logStartupProfileInfo - No active profile set, falling back to default profiles: default
14-05-2023 17:29:11.154 [main] INFO  com.springbank.user.oauth20.OAuth2ApplicationTests.logStarted - Started OAuth2ApplicationTests in 4.123 seconds (JVM running for 5.036)
14-05-2023 17:45:55.198 [main] INFO  com.springbank.user.oauth20.OAuth2Application.logStarting - Starting OAuth2Application on ruksads-beast with PID 84707 (/home/ruksad/Documents/projects/DDD-CQRS-EVENT_SOURCING/user.oauth2.0/target/classes started by ruksad in /home/ruksad/Documents/projects/DDD-CQRS-EVENT_SOURCING)
14-05-2023 17:45:55.201 [main] INFO  com.springbank.user.oauth20.OAuth2Application.logStartupProfileInfo - No active profile set, falling back to default profiles: default
14-05-2023 17:45:59.017 [main] INFO  com.springbank.user.oauth20.OAuth2Application.logStarted - Started OAuth2Application in 4.346 seconds (JVM running for 4.734)
